   8317.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.524772E-01   1.99541      0.752976      0.620109      0.276327      0.346375      0.476648      0.273734      0.622703      0.192280      0.161683      0.134402      0.840472E-01  0.499913E-01   0.00000      0.134701    
  0.575400E-01   1.80316      0.740890      0.593395      0.252040      0.311953      0.488850      0.281442      0.563993      0.176728      0.146097      0.121108      0.753122E-01  0.444647E-01   0.00000      0.121391    
  0.630913E-01   1.62293      0.729118      0.567712      0.228887      0.279364      0.500231      0.288348      0.508252      0.161752      0.131247      0.108507      0.671356E-01  0.393438E-01   0.00000      0.108773    
  0.691782E-01   1.45381      0.717500      0.542870      0.206816      0.248541      0.510684      0.294329      0.455357      0.147333      0.117119      0.965751E-01  0.594840E-01  0.345981E-01   0.00000      0.968239E-01
  0.758523E-01   1.29553      0.705888      0.518727      0.185832      0.219506      0.520056      0.299221      0.405338      0.133481      0.103733      0.853239E-01  0.523514E-01  0.302178E-01   0.00000      0.855545E-01
  0.831703E-01   1.14906      0.694084      0.495179      0.166075      0.192504      0.528009      0.302675      0.358579      0.120282      0.912082E-01  0.748495E-01  0.457929E-01  0.262346E-01   0.00000      0.750614E-01
  0.911943E-01   1.01329      0.681899      0.471999      0.147470      0.167422      0.534429      0.304577      0.314891      0.107709      0.795091E-01  0.651107E-01  0.397607E-01  0.226087E-01   0.00000      0.653037E-01
  0.999925E-01  0.885387      0.669178      0.448887      0.129774      0.143887      0.539404      0.305000      0.273661      0.956407E-01  0.684935E-01  0.559695E-01  0.341338E-01  0.192495E-01   0.00000      0.561437E-01
  0.109639      0.768352      0.655722      0.425872      0.113300      0.122371      0.542422      0.303501      0.235671      0.842605E-01  0.583668E-01  0.476047E-01  0.290396E-01  0.162439E-01   0.00000      0.477603E-01
  0.120217      0.662833      0.641154      0.402731      0.981733E-01  0.103078      0.542980      0.299654      0.201251      0.736589E-01  0.492345E-01  0.400972E-01  0.245145E-01  0.136085E-01   0.00000      0.402346E-01
  0.131815      0.566640      0.625296      0.379248      0.841996E-01  0.856771E-01  0.541097      0.293570      0.169877      0.637437E-01  0.409655E-01  0.333230E-01  0.204560E-01  0.112686E-01   0.00000      0.334430E-01
  0.144533      0.479882      0.607788      0.355248      0.714342E-01  0.702311E-01  0.536354      0.285017      0.141665      0.545665E-01  0.335987E-01  0.273076E-01  0.168677E-01  0.922147E-02   0.00000      0.274110E-01
