   10.0000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.630929E-02   5.39585      0.665193      0.786473      0.544912      0.735553      0.120280      0.509193E-01   1.28047      0.422285      0.412674      0.322782      0.122627       0.00000       0.00000      0.322879    
  0.691799E-02   5.25610      0.658848      0.770352      0.530787      0.715393      0.128061      0.549589E-01   1.24618      0.411988      0.401712      0.313571      0.118799       0.00000       0.00000      0.313680    
  0.758542E-02   5.11680      0.653129      0.754654      0.516768      0.695308      0.136361      0.593461E-01   1.21208      0.401758      0.390774      0.304412      0.115010       0.00000       0.00000      0.304534    
  0.831724E-02   4.97799      0.648051      0.739390      0.502840      0.675276      0.145211      0.641139E-01   1.17812      0.391583      0.379845      0.295296      0.111257       0.00000       0.00000      0.295430    
  0.911966E-02   4.83942      0.643336      0.724368      0.488957      0.655265      0.154379      0.691032E-01   1.14422      0.381436      0.368918      0.286200      0.107521       0.00000       0.00000      0.286347    
  0.999950E-02   4.70096      0.639384      0.709841      0.475127      0.635244      0.164257      0.745974E-01   1.11037      0.371320      0.357963      0.277122      0.103807       0.00000       0.00000      0.277281    
  0.109642E-01   4.56310      0.635849      0.695610      0.461355      0.615254      0.174493      0.803560E-01   1.07661      0.361236      0.347012      0.268073      0.100120       0.00000       0.00000      0.268242    
  0.120220E-01   4.42609      0.633072      0.681910      0.447666      0.595292      0.185405      0.866177E-01   1.04296      0.351195      0.336052      0.259060      0.964719E-01   0.00000       0.00000      0.259240    
  0.131819E-01   4.28956      0.630945      0.668660      0.434018      0.575314      0.196926      0.933460E-01   1.00933      0.341170      0.325063      0.250061      0.928483E-01   0.00000       0.00000      0.250252    
  0.144536E-01   4.15349      0.629468      0.655868      0.420401      0.555309      0.209066      0.100559      0.975710      0.331154      0.314038      0.241071      0.892472E-01   0.00000       0.00000      0.241271    
  0.158481E-01   4.01781      0.628597      0.643511      0.406805      0.535267      0.221792      0.108243      0.942072      0.321139      0.302973      0.232085      0.856660E-01   0.00000       0.00000      0.232294    
  0.173770E-01   3.88249      0.628335      0.631596      0.393222      0.515182      0.235114      0.116415      0.908403      0.311117      0.291864      0.223101      0.821042E-01   0.00000       0.00000      0.223318    
